PPG,ECTS,Naziv,Sifra,TipSP,VrstaSP,Izvodjac,Nositelj,Trajanje,IzvodjacMjesto,JezikIzvođenja,NacinIzvođenja,Akademski_stupanj,Vrsta_ustanove_nositelja
8.00.  INTERDISCIPLINARNA PODRUČJA ZNANOSTI,60,Javna uprava,729,sveučilišni,poslijediplomski specijalistički studiji,Sveučilište u Zagrebu,Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,zajednički studij,sveučilišni/a specijalist/specijalistica javne uprave,Javno
6.03.  HUMANISTIČKE ZNANOSTI / Filologija,60,Konferencijsko prevođenje,730,sveučilišni,poslijediplomski specijalistički studiji,Sveučilište u Zagrebu,Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/ specijalistica konferencijski/a prevoditelj/ica (navodi se jezik prema završenom programu),Javno
8.00.  INTERDISCIPLINARNA PODRUČJA ZNANOSTI,120,Upravljanje gradom,731,sveučilišni,poslijediplomski specijalistički studiji,Sveučilište u Zagrebu,Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/ica upravljanja gradom,Javno
3.02.  BIOMEDICINA I ZDRAVSTVO / Kliničke medicinske znanosti,60,Klinička mikrobiologija,732,sveučilišni,poslijediplomski specijalistički studiji,"Medicinski fakultet, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a magistar/magistra kliničke mikrobiologije,Javno
3.02.  BIOMEDICINA I ZDRAVSTVO / Kliničke medicinske znanosti,60,Psihoterapija,733,sveučilišni,poslijediplomski specijalistički studiji,"Medicinski fakultet, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a magistar/magistra psihoterapije,Javno
4.03.  BIOTEHNIČKE ZNANOSTI / Drvna tehnologija,120,Organizacija proizvodnje,734,sveučilišni,poslijediplomski specijalistički studiji,"Šumarski fakultet, Zagreb ",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica organizacije proizvodnje,Javno
4.03.  BIOTEHNIČKE ZNANOSTI / Drvna tehnologija,120,Tehnologija drvnih materijala,735,sveučilišni,poslijediplomski specijalistički studiji,"Šumarski fakultet, Zagreb ",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica tehnologije drvnih materijala,Javno
5.02.  DRUŠTVENE ZNANOSTI / Pravo,120,Fiskalni sustav i fiskalna politika,736,sveučilišni,poslijediplomski specijalistički studiji,"Pravni fakultet, Zagreb",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica  fiskalnog sustava i fiskalne politike ,Javno
5.02.  DRUŠTVENE ZNANOSTI / Pravo,120,Građanskopravne i obiteljskopravne znanosti,737,sveučilišni,poslijediplomski specijalistički studiji,"Pravni fakultet, Zagreb",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica građanskopravnih i obiteljskopravne znanosti,Javno
5.02.  DRUŠTVENE ZNANOSTI / Pravo,96,Javno pravo i javna uprava,738,sveučilišni,poslijediplomski specijalistički studiji,"Pravni fakultet, Zagreb",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica  javnog prava i javne  uprave ,Javno
5.02.  DRUŠTVENE ZNANOSTI / Pravo,90,Pravo društava i trgovačko pravo,739,sveučilišni,poslijediplomski specijalistički studiji,"Pravni fakultet, Zagreb",Sveučilište u Zagrebu,1.5,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica  prava društava i trgovačkog prava,Javno
5.02.  DRUŠTVENE ZNANOSTI / Pravo,120,Međunarodno javno i međunarodno privatno pravo,740,sveučilišni,poslijediplomski specijalistički studiji,"Pravni fakultet, Zagreb",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica međunarodnog javnog i međunarodnog privatnog prava,Javno
5.02.  DRUŠTVENE ZNANOSTI / Pravo,96,Kaznenopravne znanosti,741,sveučilišni,poslijediplomski specijalistički studiji,"Pravni fakultet, Zagreb",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica kaznenopravnih znanosti,Javno
5.02.  DRUŠTVENE ZNANOSTI / Pravo,120,Europsko pravo,742,sveučilišni,poslijediplomski specijalistički studiji,"Pravni fakultet, Zagreb",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica europskog prava,Javno
5.12.  DRUŠTVENE ZNANOSTI / Socijalne djelatnosti,120,Socijalna politika,743,sveučilišni,poslijediplomski specijalistički studiji,"Pravni fakultet, Zagreb",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica socijalne politike,Javno
5.12.  DRUŠTVENE ZNANOSTI / Socijalne djelatnosti,120,Psihosocijalni pristup u socijalnom radu,744,sveučilišni,poslijediplomski specijalistički studiji,"Pravni fakultet, Zagreb",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica  psihosocijalnog pristupa  u socijalnom radu ,Javno
5.12.  DRUŠTVENE ZNANOSTI / Socijalne djelatnosti,120,Supervizija psihosocijalnog rada,745,sveučilišni,poslijediplomski specijalistički studiji,"Pravni fakultet, Zagreb",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica  supervizije psihosocijalnog rada,Javno
5.08.  DRUŠTVENE ZNANOSTI / Edukacijsko-rehabilitacijske znanosti,90,Rana intervencija u edukacijskoj rehabilitaciji,746,sveučilišni,poslijediplomski specijalistički studiji,"Edukacijsko-rehabilitacijski fakultet, Zagreb ",Sveučilište u Zagrebu,1.5,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica  rane intervencije u edukacijskoj rehabilitaciji,Javno
,90,Surdopedagogija,747,sveučilišni,poslijediplomski specijalistički studiji,"Edukacijsko-rehabilitacijski fakultet, Zagreb ",Sveučilište u Zagrebu,1.5,ZAGREB,hrvatski jezik,klasično,,Javno
2.01.  TEHNIČKE ZNANOSTI / Arhitektura i urbanizam,60,Arhitektura i urbanizam; Prostorno uređenje,748,sveučilišni,poslijediplomski specijalistički studiji,"Arhitektonski fakultet, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica arhitekture i urbanizma,Javno
2.05.  TEHNIČKE ZNANOSTI / Građevinarstvo,60,Specijalistički studij Građevinskog fakulteta,749,sveučilišni,poslijediplomski specijalistički studiji,"Građevinski fakultet, Zagreb ",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica građevinarstva,Javno
2.15.  TEHNIČKE ZNANOSTI / Temeljne tehničke znanosti,60,Strojarstvo i brodogradnja,750,sveučilišni,poslijediplomski specijalistički studiji,"Fakultet strojarstva i brodogradnje, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica  strojarstva i brodogradnje,Javno
7.04.  UMJETNIČKO PODRUČJE / Likovne umjetnosti,120,Medaljerstvo i mala plastika,751,sveučilišni,poslijediplomski specijalistički studiji,"Akademija likovnih umjetnosti, Zagreb",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica medaljerstva i male plastike,Javno
7.04.  UMJETNIČKO PODRUČJE / Likovne umjetnosti,120,Grafika,752,sveučilišni,poslijediplomski specijalistički studiji,"Akademija likovnih umjetnosti, Zagreb",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica grafike,Javno
8.00.  INTERDISCIPLINARNA PODRUČJA ZNANOSTI,60,Korozija i zaštita,753,sveučilišni,poslijediplomski specijalistički studiji,Sveučilište u Zagrebu,Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica korozije i zaštite,Javno
8.00.  INTERDISCIPLINARNA PODRUČJA ZNANOSTI,60,Ekoinženjerstvo,754,sveučilišni,poslijediplomski specijalistički studiji,"Fakultet kemijskog inženjerstva i tehnologije, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,zajednički studij,sveučilišni/a specijalist/specijalistica ekoinženjerstva,Javno
8.00.  INTERDISCIPLINARNA PODRUČJA ZNANOSTI,60,Ekoinženjerstvo,754,sveučilišni,poslijediplomski specijalistički studiji,Sveučilište u Zagrebu,Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,zajednički studij,sveučilišni/a specijalist/specijalistica ekoinženjerstva,Javno
3.02.  BIOMEDICINA I ZDRAVSTVO / Kliničke medicinske znanosti,60,Ultrazvuk u ginekologiji i porodništvu,755,sveučilišni,poslijediplomski specijalistički studiji,"Medicinski fakultet, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a magistar/magistra ultrazvuka u ginekologiji i porodništvu,Javno
3.02.  BIOMEDICINA I ZDRAVSTVO / Kliničke medicinske znanosti,60,Klinička farmakologija s toksikologijom,756,sveučilišni,poslijediplomski specijalistički studiji,"Medicinski fakultet, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a magistar/magistra kliničke farmakologije s toksikologijom,Javno
3.03.  BIOMEDICINA I ZDRAVSTVO / Javno zdravstvo i zdravstvena zaštita,60,Menadžment u zdravstvu,757,sveučilišni,poslijediplomski specijalistički studiji,"Medicinski fakultet, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a magistar/magistra menadžmenta u zdravstvu,Javno
3.02.  BIOMEDICINA I ZDRAVSTVO / Kliničke medicinske znanosti,60,Zaštita majke i djeteta,758,sveučilišni,poslijediplomski specijalistički studiji,"Medicinski fakultet, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a magistar/ magistra zaštite majke i djeteta,Javno
3.05.  BIOMEDICINA I ZDRAVSTVO / Dentalna medicina,120,Dentalna medicina,759,sveučilišni,poslijediplomski specijalistički studiji,"Stomatološki fakultet, Zagreb",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,sveučilišni/a magistar/magistra dentalne medicine,Javno
3.02.  BIOMEDICINA I ZDRAVSTVO / Kliničke medicinske znanosti,60,Nuklearna medicina,761,sveučilišni,poslijediplomski specijalistički studiji,"Medicinski fakultet, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a magistar/magistra nuklearne medicine,Javno
3.02.  BIOMEDICINA I ZDRAVSTVO / Kliničke medicinske znanosti,60,Fizikalna medicina i rehabilitacija,762,sveučilišni,poslijediplomski specijalistički studiji,"Medicinski fakultet, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a magistar/magistra fizikalne medicine i rehabilitacije,Javno
3.02.  BIOMEDICINA I ZDRAVSTVO / Kliničke medicinske znanosti,60,Fetalna medicina i opstetricija,763,sveučilišni,poslijediplomski specijalistički studiji,"Medicinski fakultet, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a magistar/magistra fetalne medicine i opstetricije ,Javno
3.02.  BIOMEDICINA I ZDRAVSTVO / Kliničke medicinske znanosti,60,Otorinolaringologija,764,sveučilišni,poslijediplomski specijalistički studiji,"Medicinski fakultet, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a magistar/magistra otorinolaringologije,Javno
3.02.  BIOMEDICINA I ZDRAVSTVO / Kliničke medicinske znanosti,60,Dermatologija i venerologija ,765,sveučilišni,poslijediplomski specijalistički studiji,"Medicinski fakultet, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a magistar/magistra dermatologije i venerologije,Javno
3.02.  BIOMEDICINA I ZDRAVSTVO / Kliničke medicinske znanosti,60,"Anesteziologija, reanimatologija i intenzivna medicina",766,sveučilišni,poslijediplomski specijalistički studiji,"Medicinski fakultet, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,"sveučilišni/a magistar/magistra anesteziologije, reanimatologije i intenzivne medicine ",Javno
3.02.  BIOMEDICINA I ZDRAVSTVO / Kliničke medicinske znanosti,120,Infektologija,767,sveučilišni,poslijediplomski specijalistički studiji,"Medicinski fakultet, Zagreb",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,sveučilišni/a magistar/magistra infektologije,Javno
3.02.  BIOMEDICINA I ZDRAVSTVO / Kliničke medicinske znanosti,60,Školska i adolescentna medicina,768,sveučilišni,poslijediplomski specijalistički studiji,"Medicinski fakultet, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a magistar/magistra školske i adolescentne medicine ,Javno
3.02.  BIOMEDICINA I ZDRAVSTVO / Kliničke medicinske znanosti,60,Neurologija,769,sveučilišni,poslijediplomski specijalistički studiji,"Medicinski fakultet, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a magistar/magistra neurologije,Javno
3.02.  BIOMEDICINA I ZDRAVSTVO / Kliničke medicinske znanosti,60,Ultrazvuk u kliničkoj medicini;gastroenterologija i hepatologija,770,sveučilišni,poslijediplomski specijalistički studiji,"Medicinski fakultet, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a magistar/magistra ultrazvuka u gastroenterologiji s hepatologijom,Javno
3.02.  BIOMEDICINA I ZDRAVSTVO / Kliničke medicinske znanosti,60,Oftalmologija i optometrija,771,sveučilišni,poslijediplomski specijalistički studiji,"Medicinski fakultet, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a magistar/magistra oftalmolgije i optometrije,Javno
3.02.  BIOMEDICINA I ZDRAVSTVO / Kliničke medicinske znanosti,60,Pedijatrija,772,sveučilišni,poslijediplomski specijalistički studiji,"Medicinski fakultet, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a magistar/magistra pedijatrije,Javno
3.03.  BIOMEDICINA I ZDRAVSTVO / Javno zdravstvo i zdravstvena zaštita,60,Obiteljska medicina,773,sveučilišni,poslijediplomski specijalistički studiji,"Medicinski fakultet, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a magistar/magistra obiteljske medicine,Javno
3.03.  BIOMEDICINA I ZDRAVSTVO / Javno zdravstvo i zdravstvena zaštita,60,Medicina rada i športa,774,sveučilišni,poslijediplomski specijalistički studiji,"Medicinski fakultet, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,zajednički studij,sveučilišni/a magistar/magistra medicine rada i sporta,Javno
3.03.  BIOMEDICINA I ZDRAVSTVO / Javno zdravstvo i zdravstvena zaštita,60,Medicina rada i športa,774,sveučilišni,poslijediplomski specijalistički studiji,"Kineziološki fakultet, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,zajednički studij,sveučilišni/a magistar/magistra medicine rada i sporta,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,120,Organizacija i management,775,sveučilišni,poslijediplomski specijalistički studiji,"Ekonomski fakultet, Osijek",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,2,OSIJEK,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica organizacije i managementa,Javno
8.00.  INTERDISCIPLINARNA PODRUČJA ZNANOSTI,90,Europski studiji-Regionalna suradnja i integriranje u Europsku uniju,776,sveučilišni,poslijediplomski specijalistički studiji,Sveučilište  Josipa Jurja Strossmayera u Osijeku ,Sveučilište  Josipa Jurja Strossmayera u Osijeku ,1.5,OSIJEK,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica europskih studija,Javno
2.13.  TEHNIČKE ZNANOSTI / Tekstilna tehnologija,90,Umjetnost tekstilom,777,sveučilišni,poslijediplomski specijalistički studiji,"Tekstilno-tehnološki fakultet, Zagreb",Sveučilište u Zagrebu,1.5,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica umjetnosti tekstilom,Javno
2.13.  TEHNIČKE ZNANOSTI / Tekstilna tehnologija,90,Visoka moda,778,sveučilišni,poslijediplomski specijalistički studiji,"Tekstilno-tehnološki fakultet, Zagreb",Sveučilište u Zagrebu,1.5,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica visoke mode,Javno
3.02.  BIOMEDICINA I ZDRAVSTVO / Kliničke medicinske znanosti,60,Klinička citologija,780,sveučilišni,poslijediplomski specijalistički studiji,"Medicinski fakultet, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a magistar/magistra kliničke citologije,Javno
3.02.  BIOMEDICINA I ZDRAVSTVO / Kliničke medicinske znanosti,60,Hitna  medicina,781,sveučilišni,poslijediplomski specijalistički studiji,"Medicinski fakultet, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a magistar/magistra hitne medicine,Javno
3.03.  BIOMEDICINA I ZDRAVSTVO / Javno zdravstvo i zdravstvena zaštita,60,Javno zdravstvo,782,sveučilišni,poslijediplomski specijalistički studiji,"Medicinski fakultet, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a magistar/magistra javnog zdravstva,Javno
4.02.  BIOTEHNIČKE ZNANOSTI / Šumarstvo,120,Uređivanje šuma,783,sveučilišni,poslijediplomski specijalistički studiji,"Šumarski fakultet, Zagreb ",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica  uređivanja šuma,Javno
4.02.  BIOTEHNIČKE ZNANOSTI / Šumarstvo,120,"Ekološko oblikovanje krajolika, zaštita prirode i hortikultura",784,sveučilišni,poslijediplomski specijalistički studiji,"Šumarski fakultet, Zagreb ",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,"sveučilišni/a specijalist/specijalistica ekološkog oblikovanja krajolika, zaštite prirode i hortikulture",Javno
4.02.  BIOTEHNIČKE ZNANOSTI / Šumarstvo,120,Šumske prometnice,785,sveučilišni,poslijediplomski specijalistički studiji,"Šumarski fakultet, Zagreb ",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica šumskih prometnica,Javno
4.02.  BIOTEHNIČKE ZNANOSTI / Šumarstvo,120,Uzgajanje i osnivanje šuma,786,sveučilišni,poslijediplomski specijalistički studiji,"Šumarski fakultet, Zagreb ",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica uzgajanja i osnivanja šuma,Javno
4.02.  BIOTEHNIČKE ZNANOSTI / Šumarstvo,120,Šumarske tehnike i tehnologije,787,sveučilišni,poslijediplomski specijalistički studiji,"Šumarski fakultet, Zagreb ",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica šumarske tehnike i tehnologija,Javno
4.02.  BIOTEHNIČKE ZNANOSTI / Šumarstvo,120,Oplemenjivanje i očuvanje genetske raznolikosti šumskog drveća,788,sveučilišni,poslijediplomski specijalistički studiji,"Šumarski fakultet, Zagreb ",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica oplemenjivanja i očuvanja genetske raznolikosti šumskog drveća,Javno
4.02.  BIOTEHNIČKE ZNANOSTI / Šumarstvo,120,Lovstvo,789,sveučilišni,poslijediplomski specijalistički studiji,"Šumarski fakultet, Zagreb ",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica lovstva,Javno
3.03.  BIOMEDICINA I ZDRAVSTVO / Javno zdravstvo i zdravstvena zaštita,90,Menadžment u zdravstvu,790,sveučilišni,poslijediplomski specijalistički studiji,"Medicinski fakultet, Rijeka ",Sveučilište u Rijeci,1.5,RIJEKA,hrvatski jezik,klasično,sveučilišni/a magistar/magistra menadžmenta u zdravstvu,Javno
3.04.  BIOMEDICINA I ZDRAVSTVO / Veterinarska medicina,120,Patologija i uzgoj domaćih mesoždera,791,sveučilišni,poslijediplomski specijalistički studiji,"Veterinarski fakultet, Zagreb ",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,sveučilišni/a magistar/ magistra domaćih karnivora,Javno
3.04.  BIOMEDICINA I ZDRAVSTVO / Veterinarska medicina,120,Unutarnje bolesti domaćih životinja ,792,sveučilišni,poslijediplomski specijalistički studiji,"Veterinarski fakultet, Zagreb ",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,sveučilišni/a magistar/magistra unutarnjih bolesti,Javno
3.04.  BIOMEDICINA I ZDRAVSTVO / Veterinarska medicina,120,Proizvodnja i zaštita zdravlja svinja,793,sveučilišni,poslijediplomski specijalistički studiji,"Veterinarski fakultet, Zagreb ",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,sveučilišni/a magistar/ magistra hiologije,Javno
3.04.  BIOMEDICINA I ZDRAVSTVO / Veterinarska medicina,120,Higijena i tehnologija hrane životinjskog podrijetla,794,sveučilišni,poslijediplomski specijalistički studiji,"Veterinarski fakultet, Zagreb ",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,sveučilišni/a magistar/ magistra higijene i tehnologije hrane životinjskog podrijetla,Javno
3.04.  BIOMEDICINA I ZDRAVSTVO / Veterinarska medicina,120,"Kirurgija, anesteziologija i oftalmologija s veterinarskom stomatologijom",795,sveučilišni,poslijediplomski specijalistički studiji,"Veterinarski fakultet, Zagreb ",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,sveučilišni/a magistar/magistra kirurgije,Javno
3.04.  BIOMEDICINA I ZDRAVSTVO / Veterinarska medicina,120,Uzgoj i patologija egzotičnih kućnih ljubimaca,796,sveučilišni,poslijediplomski specijalistički studiji,"Veterinarski fakultet, Zagreb ",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,sveučilišni/a magistar/ magistra egzotičnih ljubimaca,Javno
3.04.  BIOMEDICINA I ZDRAVSTVO / Veterinarska medicina,120,Mikrobiologija i epizootiologija,797,sveučilišni,poslijediplomski specijalistički studiji,"Veterinarski fakultet, Zagreb ",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,sveučilišni/a magistar/magistra mikrobiologije i epizootiologije,Javno
3.04.  BIOMEDICINA I ZDRAVSTVO / Veterinarska medicina,120,Uzgoj i patologija laboratorijskih životinja,800,sveučilišni,poslijediplomski specijalistički studiji,"Veterinarski fakultet, Zagreb ",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,sveučilišni/a magistar/magistra laboratorijskih životinja,Javno
3.04.  BIOMEDICINA I ZDRAVSTVO / Veterinarska medicina,120,Teriogenologija domaćih sisavaca,801,sveučilišni,poslijediplomski specijalistički studiji,"Veterinarski fakultet, Zagreb ",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,sveučilišni/a magistar/magistra teriogenologije,Javno
3.04.  BIOMEDICINA I ZDRAVSTVO / Veterinarska medicina,120,Uzgoj i patologija divljači,802,sveučilišni,poslijediplomski specijalistički studiji,"Veterinarski fakultet, Zagreb ",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,sveučilišni/a magistar/magistra uzgoja divljači ,Javno
3.04.  BIOMEDICINA I ZDRAVSTVO / Veterinarska medicina,120,Sanitacija,803,sveučilišni,poslijediplomski specijalistički studiji,"Veterinarski fakultet, Zagreb ",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,sveučilišni/a magistar/magistra sanitacije,Javno
1.01.  PRIRODNE ZNANOSTI / Matematika,120,Aktuarska matematika,804,sveučilišni,poslijediplomski specijalistički studiji,"Prirodoslovno-matematički fakultet, Zagreb ",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/ specijalistica aktuarske matematike,Javno
4.05.  BIOTEHNIČKE ZNANOSTI / Prehrambena tehnologija,90,Kvaliteta i sigurnost hrane,805,sveučilišni,poslijediplomski specijalistički studiji,Prehrambeno-biotehnološki fakultet,Sveučilište u Zagrebu,1.5,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica kvalitete i sigurnosti hrane,Javno
3.02.  BIOMEDICINA I ZDRAVSTVO / Kliničke medicinske znanosti,60,Klinička radiologija,806,sveučilišni,poslijediplomski specijalistički studiji,"Medicinski fakultet, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a magistar/magistra kliničke radiologije,Javno
3.02.  BIOMEDICINA I ZDRAVSTVO / Kliničke medicinske znanosti,60,Epidemiologija,807,sveučilišni,poslijediplomski specijalistički studiji,"Medicinski fakultet, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a magistar/magistra epidemiologije,Javno
3.02.  BIOMEDICINA I ZDRAVSTVO / Kliničke medicinske znanosti,60,Dječja i adolescentna psihijatrija,808,sveučilišni,poslijediplomski specijalistički studiji,"Medicinski fakultet, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a magistar/magistra  dječje i adolescentne psihijatrije,Javno
3.02.  BIOMEDICINA I ZDRAVSTVO / Kliničke medicinske znanosti,60,Onkologija i radioterapija,809,sveučilišni,poslijediplomski specijalistički studiji,"Medicinski fakultet, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a magistar/magistra onkologije i radioterapije,Javno
4.05.  BIOTEHNIČKE ZNANOSTI / Prehrambena tehnologija,60,Sigurnost i kvaliteta hrane,811,sveučilišni,poslijediplomski specijalistički studiji,"Prehrambeno-tehnološki fakultet, Osijek ",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,1,OSIJEK,hrvatski jezik,klasično,sveučilišni/a specijalist/ specijalistica sigurnosti i kvalitete hrane,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,120,Poduzetništvo,812,sveučilišni,poslijediplomski specijalistički studiji,"Ekonomski fakultet, Osijek",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,2,OSIJEK,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica poduzetništva,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,90,Poslovna ekonomija,813,sveučilišni,poslijediplomski specijalistički studiji,"Ekonomski fakultet, Split ",Sveučilište u Splitu,1.5,SPLIT,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica ekonomije,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,90,Ekonomija,814,sveučilišni,poslijediplomski specijalistički studiji,"Ekonomski fakultet, Split ",Sveučilište u Splitu,1.5,SPLIT,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica ekonomije,Javno
