PPG,ECTS,Naziv,Sifra,TipSP,VrstaSP,Izvodjac,Nositelj,Trajanje,IzvodjacMjesto,JezikIzvođenja,NacinIzvođenja,Akademski_stupanj,Vrsta_ustanove_nositelja
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,60,Marketing usluga,2426,sveučilišni,poslijediplomski specijalistički studiji,Sveučilište Jurja Dobrile u Puli ,Sveučilište Jurja Dobrile u Puli ,1,PULA,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica marketinga usluga,Javno
6.03.  HUMANISTIČKE ZNANOSTI / Filologija,180,Njemački jezik i književnost,2427,sveučilišni,preddiplomski sveučilišni studij,Filozofski fakultet u Splitu,Sveučilište u Splitu,3,SPLIT,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) njemačkoga jezika i književnosti,Javno
,120,Održivo upravljanje vodenim ekosustavima,2428,sveučilišni,diplomski sveučilišni studij,Sveučilište u Zadru,Sveučilište u Zadru,2,ZADAR,hrvatski jezik,klasično,,Javno
2.11.  TEHNIČKE ZNANOSTI / Strojarstvo,180,Mehatronika,2430,stručni,preddiplomski stručni studij,"Sveučilište Sjever, Koprivnica","Sveučilište Sjever, Koprivnica",3,KOPRIVNICA,hrvatski jezik,klasično,stručni/a prvostupnik/ prvostupnica (baccalaureus/ baccalaurea) inženjer/ inženjerka mehatronike,Javno
4.05.  BIOTEHNIČKE ZNANOSTI / Prehrambena tehnologija,180,Prehrambena tehnologija,2431,stručni,preddiplomski stručni studij,"Sveučilište Sjever, Koprivnica","Sveučilište Sjever, Koprivnica",3,KOPRIVNICA,hrvatski jezik,klasično,stručni/a prvostupnik/ prvostupnica (baccalaureus/ baccalaurea) inženjer/inženjerka prehrambene tehnologije,Javno
3.02.  BIOMEDICINA I ZDRAVSTVO / Kliničke medicinske znanosti,180,Fizioterapija,2432,stručni,preddiplomski stručni studij,"Sveučilište Sjever, Koprivnica","Sveučilište Sjever, Koprivnica",3,KOPRIVNICA,hrvatski jezik,klasično,stručni/a prvostupnik/ prvostupnica (baccalaureus/ baccalaurea) fizioterapije,Javno
5.10.  DRUŠTVENE ZNANOSTI / Kineziologija,120,Kineziološka edukacija,2433,sveučilišni,diplomski sveučilišni studij,"Fakultet za odgojne i obrazovne znanosti, Osijek ",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,2,OSIJEK,hrvatski jezik,klasično,magistar/magistra kineziološke edukacije ,Javno
,120,Prehrambena tehnologija  ,2434,sveučilišni,diplomski sveučilišni studij,"Kemijsko-tehnološki fakultet, Split ",Sveučilište u Splitu,2,SPLIT,hrvatski jezik,klasično,,Javno
,180,Predmoderna povijest,2436,sveučilišni,poslijediplomski sveučilišni studiji,"Filozofski fakultet, Zagreb",Sveučilište u Zagrebu,3,ZAGREB,hrvatski jezik,klasično,,Javno
3.02.  BIOMEDICINA I ZDRAVSTVO / Kliničke medicinske znanosti,60,Transfuzijska medicina,2437,sveučilišni,poslijediplomski specijalistički studiji,"Medicinski fakultet, Osijek",Sveučilište u Zagrebu,1,OSIJEK,hrvatski jezik,klasično,sveučilišni/a magistar/magistra transfuzijske medicine,Javno
3.02.  BIOMEDICINA I ZDRAVSTVO / Kliničke medicinske znanosti,60,Transfuzijska medicina,2437,sveučilišni,poslijediplomski specijalistički studiji,"Medicinski fakultet, Rijeka ",Sveučilište u Zagrebu,1,RIJEKA,hrvatski jezik,klasično,sveučilišni/a magistar/magistra transfuzijske medicine,Javno
3.02.  BIOMEDICINA I ZDRAVSTVO / Kliničke medicinske znanosti,60,Transfuzijska medicina,2437,sveučilišni,poslijediplomski specijalistički studiji,"Medicinski fakultet, Split",Sveučilište u Zagrebu,1,SPLIT,hrvatski jezik,klasično,sveučilišni/a magistar/magistra transfuzijske medicine,Javno
2.09.  TEHNIČKE ZNANOSTI / Računarstvo,180,Računarstvo  ,2438,stručni,preddiplomski stručni studij,"Fakultet elektrotehnike, računarstva i informacijskih tehnologija Osijek",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,3,OSIJEK,hrvatski jezik,klasično,stručni/a prvostupnik/ prvostupnica (baccalaureus/baccalaurea) inženjer/inženjerka računarstva,Javno
,180,Teologija ,2439,stručni,preddiplomski stručni studij,"Visoko evanđeosko teološko učilište, Osijek","Visoko evanđeosko teološko učilište, Osijek",3,OSIJEK,hrvatski jezik,klasično,,Privatno 
,120,Teologija ,2440,stručni,specijalistički diplomski stručni studij,"Visoko evanđeosko teološko učilište, Osijek","Visoko evanđeosko teološko učilište, Osijek",2,OSIJEK,hrvatski jezik,klasično,,Privatno 
,90,E-učenje u obrazovanju i poslovanju,2441,sveučilišni,poslijediplomski specijalistički studiji,"Fakultet organizacije i informatike, Varaždin",Sveučilište u Zagrebu,1.5,VARAŽDIN,hrvatski jezik,zajednički studij,,Javno
,90,E-učenje u obrazovanju i poslovanju,2441,sveučilišni,poslijediplomski specijalistički studiji,"Filozofski fakultet, Zagreb",Sveučilište u Zagrebu,1.5,ZAGREB,hrvatski jezik,zajednički studij,,Javno
,180,Mediji i komunikacija ,2444,sveučilišni,poslijediplomski sveučilišni studiji,"Sveučilište Sjever, Koprivnica","Sveučilište Sjever, Koprivnica",3,KOPRIVNICA,hrvatski jezik,klasično,,Javno
,60,Romistika - dvopredmetni,2448,sveučilišni,diplomski sveučilišni studij,"Filozofski fakultet, Zagreb",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,,Javno
,180,Održivi agroturizam ,2449,stručni,preddiplomski stručni studij,Veleučilište u Rijeci,Veleučilište u Rijeci,3,RIJEKA,hrvatski jezik,klasično,,Javno
,120,Rani i predškolski odgoj i obrazovanje ,2450,sveučilišni,diplomski sveučilišni studij,Filozofski fakultet u Splitu,Sveučilište u Splitu,2,SPLIT,hrvatski jezik,klasično,,Javno
,300,Učiteljski studij,2451,sveučilišni,integrirani preddiplomski i diplomski sveučilišni ,"Učiteljski fakultet, Zagreb ",Sveučilište u Zagrebu,5,ZAGREB,hrvatski jezik,klasično,,Javno
8.05.  INTERDISCIPLINARNA PODRUČJA ZNANOSTI / Obrazovne znanosti,60,Poslijediplomski specijalistički studij za ravnatelje odgojno-obrazovnih ustanova,2452,sveučilišni,poslijediplomski specijalistički studiji,"Filozofski fakultet, Rijeka ",Sveučilište u Rijeci,1,RIJEKA,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica vođenja i upravljanja odgojno-obrazovnom ustanovom,Javno
3.02.  BIOMEDICINA I ZDRAVSTVO / Kliničke medicinske znanosti,180,Sestrinstvo ,2453,sveučilišni,preddiplomski sveučilišni studij,Sveučilište u Zadru,Sveučilište u Zadru,3,ZADAR,hrvatski jezik,klasično,sveučilišni prvostupnik/ prvostupnica (baccalaureus/ baccalaurea) sestrinstva,Javno
3.02.  BIOMEDICINA I ZDRAVSTVO / Kliničke medicinske znanosti,120,Sestrinstvo ,2454,sveučilišni,diplomski sveučilišni studij,Sveučilište u Zadru,Sveučilište u Zadru,2,ZADAR,hrvatski jezik,klasično,magistar/magistra sestrinstva ,Javno
3.02.  BIOMEDICINA I ZDRAVSTVO / Kliničke medicinske znanosti,60,Kardiotorakalna kirurgija,2455,sveučilišni,poslijediplomski specijalistički studiji,"Medicinski fakultet, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a magistar/magistra kardiotorakalne kirurgije  ,Javno
6.03.  HUMANISTIČKE ZNANOSTI / Filologija,90,Engleski jezik i književnost (dvopredmetni),2457,sveučilišni,preddiplomski sveučilišni studij,Sveučilište Jurja Dobrile u Puli ,Sveučilište Jurja Dobrile u Puli ,3,PULA,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaures/baccalaurea) engleskog jezika i književnosti ,Javno
6.07.  HUMANISTIČKE ZNANOSTI / Arheologija,90,Arheologija (dvopredmetni),2458,sveučilišni,preddiplomski sveučilišni studij,Sveučilište Jurja Dobrile u Puli ,Sveučilište Jurja Dobrile u Puli ,3,PULA,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) arheologije ,Javno
6.05.  HUMANISTIČKE ZNANOSTI / Povijest umjetnosti,60,Povijest umjetnosti: opći smjer,2459,sveučilišni,diplomski sveučilišni studij,Sveučilište u Zadru,Sveučilište u Zadru,2,ZADAR,hrvatski jezik,klasično,magistar/magistra povijesti umjetnosti ,Javno
7.03.  UMJETNIČKO PODRUČJE / Glazbena umjetnost,120,Poslijediplomski specijalistički umjetnički studij za izvođače,2460,sveučilišni,poslijediplomski specijalistički studiji,"Muzička akademija, Zagreb",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica muzike ,Javno
4.01.  BIOTEHNIČKE ZNANOSTI / Poljoprivreda (agronomija),120,Obnovljivi izvori energije u poljoprivredi,2463,sveučilišni,diplomski sveučilišni studij,"Agronomski fakultet, Zagreb ",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,magistar/magistra obnovljivih izvora energije u poljoprivredi,Javno
